"","name","decimalLatitude","decimalLongitude","scientificName","family","genus","species","year","month","day","recordedBy","identifiedBy","sex"
"2074","Pipistrellus pygmaeus",39.400002,-5.96,"Pipistrellus pygmaeus (Leach, 1825)","Vespertilionidae","Pipistrellus","Pipistrellus pygmaeus",2007,NA,NA,NA,NA,NA
"2075","Pipistrellus pygmaeus",41.689999,-3.06,"Pipistrellus pygmaeus (Leach, 1825)","Vespertilionidae","Pipistrellus","Pipistrellus pygmaeus",2007,NA,NA,NA,NA,NA
"2076","Pipistrellus pygmaeus",42.860001,-2.94,"Pipistrellus pygmaeus (Leach, 1825)","Vespertilionidae","Pipistrellus","Pipistrellus pygmaeus",2007,NA,NA,NA,NA,NA
"2077","Pipistrellus pipistrellus",42.580002,-1.84,"Pipistrellus pipistrellus (Schreber, 1774)","Vespertilionidae","Pipistrellus","Pipistrellus pipistrellus",2007,NA,NA,NA,NA,NA
"2078","Pipistrellus pipistrellus",43.040001,-3.43,"Pipistrellus pipistrellus (Schreber, 1774)","Vespertilionidae","Pipistrellus","Pipistrellus pipistrellus",2007,NA,NA,NA,NA,NA
"2079","Pipistrellus pipistrellus",38.419998,-6.77,"Pipistrellus pipistrellus (Schreber, 1774)","Vespertilionidae","Pipistrellus","Pipistrellus pipistrellus",2007,NA,NA,NA,NA,NA
"2080","Pipistrellus kuhlii",41.689999,2.34,"Pipistrellus kuhlii (Kuhl, 1817)","Vespertilionidae","Pipistrellus","Pipistrellus kuhlii",2007,NA,NA,NA,NA,NA
"2081","Pipistrellus pipistrellus",39.240002,-7.09,"Pipistrellus pipistrellus (Schreber, 1774)","Vespertilionidae","Pipistrellus","Pipistrellus pipistrellus",2007,NA,NA,NA,NA,NA
"2082","Pipistrellus pipistrellus",38.779999,-5.48,"Pipistrellus pipistrellus (Schreber, 1774)","Vespertilionidae","Pipistrellus","Pipistrellus pipistrellus",2007,NA,NA,NA,NA,NA
"2083","Pipistrellus pipistrellus",42.490002,-3.79,"Pipistrellus pipistrellus (Schreber, 1774)","Vespertilionidae","Pipistrellus","Pipistrellus pipistrellus",2007,NA,NA,NA,NA,NA
"2084","Pipistrellus pipistrellus",40.040001,-6.71,"Pipistrellus pipistrellus (Schreber, 1774)","Vespertilionidae","Pipistrellus","Pipistrellus pipistrellus",2007,NA,NA,NA,NA,NA
"2085","Pipistrellus pipistrellus",40.580002,-5.42,"Pipistrellus pipistrellus (Schreber, 1774)","Vespertilionidae","Pipistrellus","Pipistrellus pipistrellus",2007,NA,NA,NA,NA,NA
"2086","Pipistrellus pipistrellus",41.41,-4.62,"Pipistrellus pipistrellus (Schreber, 1774)","Vespertilionidae","Pipistrellus","Pipistrellus pipistrellus",2007,NA,NA,NA,NA,NA
