"","name","decimalLatitude","decimalLongitude","scientificName","family","genus","species","year","month","day","recordedBy","identifiedBy","sex"
"12230","Eumodicogryllus bordigalensis",36.97103,-25.15479,"Eumodicogryllus bordigalensis (Latreille, 1804)","Gryllidae","Eumodicogryllus","Eumodicogryllus bordigalensis",1964,NA,NA,NA,NA,NA
"12231","Oedipoda caerulescens",36.96618,-25.13244,"Oedipoda caerulescens (Linnaeus, 1758)","Acrididae","Oedipoda","Oedipoda caerulescens",1964,NA,NA,NA,NA,NA
"12232","Gryllus bimaculatus",36.94383,-25.14421,"Gryllus bimaculatus De Geer, 1773","Gryllidae","Gryllus","Gryllus bimaculatus",1964,NA,NA,NA,NA,NA
"12233","Locusta migratoria",36.97103,-25.15479,"Locusta migratoria (Linnaeus, 1758)","Acrididae","Locusta","Locusta migratoria",1964,NA,NA,NA,NA,NA
"12234","Gryllus bimaculatus",36.95284,-25.144,"Gryllus bimaculatus De Geer, 1773","Gryllidae","Gryllus","Gryllus bimaculatus",1964,NA,NA,NA,NA,NA
"12235","Eumodicogryllus bordigalensis",36.98446,-25.14884,"Eumodicogryllus bordigalensis (Latreille, 1804)","Gryllidae","Eumodicogryllus","Eumodicogryllus bordigalensis",1964,NA,NA,NA,NA,NA
"12236","Phaneroptera nana",36.97571,-25.16591,"Phaneroptera nana Fieber, 1853","Tettigoniidae","Phaneroptera","Phaneroptera nana",1964,NA,NA,NA,NA,NA
"12237","Eumodicogryllus bordigalensis",36.96662,-25.16051,"Eumodicogryllus bordigalensis (Latreille, 1804)","Gryllidae","Eumodicogryllus","Eumodicogryllus bordigalensis",1964,NA,NA,NA,NA,NA
"12238","Locusta migratoria",36.96662,-25.16051,"Locusta migratoria (Linnaeus, 1758)","Acrididae","Locusta","Locusta migratoria",1964,NA,NA,NA,NA,NA
"12239","Decticus albifrons",36.95734,-25.14389,"Decticus albifrons (Fabricius, 1775)","Tettigoniidae","Decticus","Decticus albifrons",1964,NA,NA,NA,NA,NA
"12240","Platycleis falx",36.97121,-25.16602,"Platycleis falx falx","Tettigoniidae","Platycleis","Platycleis falx",1964,NA,NA,NA,NA,NA
"12241","Platycleis falx",36.96194,-25.14939,"Platycleis falx falx","Tettigoniidae","Platycleis","Platycleis falx",1964,NA,NA,NA,NA,NA
"12242","Locusta migratoria",36.94842,-25.14972,"Locusta migratoria (Linnaeus, 1758)","Acrididae","Locusta","Locusta migratoria",1964,NA,NA,NA,NA,NA
"12243","Phaneroptera nana",36.97563,-25.16029,"Phaneroptera nana Fieber, 1853","Tettigoniidae","Phaneroptera","Phaneroptera nana",1964,NA,NA,NA,NA,NA
"12244","Gryllus bimaculatus",36.98004,-25.15457,"Gryllus bimaculatus De Geer, 1773","Gryllidae","Gryllus","Gryllus bimaculatus",1964,NA,NA,NA,NA,NA
"12245","Phaneroptera nana",36.96644,-25.14928,"Phaneroptera nana Fieber, 1853","Tettigoniidae","Phaneroptera","Phaneroptera nana",1964,NA,NA,NA,NA,NA
"12246","Locusta migratoria",36.96176,-25.13816,"Locusta migratoria (Linnaeus, 1758)","Acrididae","Locusta","Locusta migratoria",1964,NA,NA,NA,NA,NA
"12247","Locusta migratoria",36.98004,-25.15457,"Locusta migratoria (Linnaeus, 1758)","Acrididae","Locusta","Locusta migratoria",1964,NA,NA,NA,NA,NA
"12248","Gryllus bimaculatus",36.96618,-25.13244,"Gryllus bimaculatus De Geer, 1773","Gryllidae","Gryllus","Gryllus bimaculatus",1964,NA,NA,NA,NA,NA
"12249","Decticus albifrons",36.97571,-25.16591,"Decticus albifrons (Fabricius, 1775)","Tettigoniidae","Decticus","Decticus albifrons",1964,NA,NA,NA,NA,NA
"12250","Oedipoda caerulescens",36.97103,-25.15479,"Oedipoda caerulescens (Linnaeus, 1758)","Acrididae","Oedipoda","Oedipoda caerulescens",1964,NA,NA,NA,NA,NA
"12251","Phaneroptera nana",36.96167,-25.13255,"Phaneroptera nana Fieber, 1853","Tettigoniidae","Phaneroptera","Phaneroptera nana",1964,NA,NA,NA,NA,NA
"12252","Gryllus bimaculatus",36.95275,-25.13838,"Gryllus bimaculatus De Geer, 1773","Gryllidae","Gryllus","Gryllus bimaculatus",1964,NA,NA,NA,NA,NA
"12253","Oedipoda caerulescens",36.96662,-25.16051,"Oedipoda caerulescens (Linnaeus, 1758)","Acrididae","Oedipoda","Oedipoda caerulescens",1964,NA,NA,NA,NA,NA
"12254","Gryllus bimaculatus",36.97563,-25.16029,"Gryllus bimaculatus De Geer, 1773","Gryllidae","Gryllus","Gryllus bimaculatus",1964,NA,NA,NA,NA,NA
"12255","Platycleis falx",36.97112,-25.1604,"Platycleis falx falx","Tettigoniidae","Platycleis","Platycleis falx",1964,NA,NA,NA,NA,NA
"12256","Eumodicogryllus bordigalensis",36.97571,-25.16591,"Eumodicogryllus bordigalensis (Latreille, 1804)","Gryllidae","Eumodicogryllus","Eumodicogryllus bordigalensis",1964,NA,NA,NA,NA,NA
"12257","Eumodicogryllus bordigalensis",36.98004,-25.15457,"Eumodicogryllus bordigalensis (Latreille, 1804)","Gryllidae","Eumodicogryllus","Eumodicogryllus bordigalensis",1964,NA,NA,NA,NA,NA
"12258","Locusta migratoria",36.95293,-25.14961,"Locusta migratoria (Linnaeus, 1758)","Acrididae","Locusta","Locusta migratoria",1964,NA,NA,NA,NA,NA
"12259","Platycleis falx",36.97077,-25.13794,"Platycleis falx falx","Tettigoniidae","Platycleis","Platycleis falx",1964,NA,NA,NA,NA,NA
"12260","Decticus albifrons",36.98446,-25.14884,"Decticus albifrons (Fabricius, 1775)","Tettigoniidae","Decticus","Decticus albifrons",1964,NA,NA,NA,NA,NA
"12261","Oedipoda caerulescens",36.95293,-25.14961,"Oedipoda caerulescens (Linnaeus, 1758)","Acrididae","Oedipoda","Oedipoda caerulescens",1964,NA,NA,NA,NA,NA
"12262","Decticus albifrons",36.97563,-25.16029,"Decticus albifrons (Fabricius, 1775)","Tettigoniidae","Decticus","Decticus albifrons",1964,NA,NA,NA,NA,NA
"12263","Platycleis falx",36.97545,-25.14906,"Platycleis falx falx","Tettigoniidae","Platycleis","Platycleis falx",1964,NA,NA,NA,NA,NA
"12264","Decticus albifrons",36.94383,-25.14421,"Decticus albifrons (Fabricius, 1775)","Tettigoniidae","Decticus","Decticus albifrons",1964,NA,NA,NA,NA,NA
"12265","Gryllus bimaculatus",36.94392,-25.14983,"Gryllus bimaculatus De Geer, 1773","Gryllidae","Gryllus","Gryllus bimaculatus",1964,NA,NA,NA,NA,NA
"12266","Decticus albifrons",36.96627,-25.13805,"Decticus albifrons (Fabricius, 1775)","Tettigoniidae","Decticus","Decticus albifrons",1964,NA,NA,NA,NA,NA
"12267","Decticus albifrons",36.95717,-25.13266,"Decticus albifrons (Fabricius, 1775)","Tettigoniidae","Decticus","Decticus albifrons",1964,NA,NA,NA,NA,NA
"12268","Eumodicogryllus bordigalensis",36.97077,-25.13794,"Eumodicogryllus bordigalensis (Latreille, 1804)","Gryllidae","Eumodicogryllus","Eumodicogryllus bordigalensis",1964,NA,NA,NA,NA,NA
"12269","Eumodicogryllus bordigalensis",36.94842,-25.14972,"Eumodicogryllus bordigalensis (Latreille, 1804)","Gryllidae","Eumodicogryllus","Eumodicogryllus bordigalensis",1964,NA,NA,NA,NA,NA
"12270","Platycleis falx",36.95284,-25.144,"Platycleis falx falx","Tettigoniidae","Platycleis","Platycleis falx",1964,NA,NA,NA,NA,NA
"12271","Phaneroptera nana",36.95734,-25.14389,"Phaneroptera nana Fieber, 1853","Tettigoniidae","Phaneroptera","Phaneroptera nana",1964,NA,NA,NA,NA,NA
"12272","Phaneroptera nana",36.97095,-25.14917,"Phaneroptera nana Fieber, 1853","Tettigoniidae","Phaneroptera","Phaneroptera nana",1964,NA,NA,NA,NA,NA
"12273","Decticus albifrons",36.95275,-25.13838,"Decticus albifrons (Fabricius, 1775)","Tettigoniidae","Decticus","Decticus albifrons",1964,NA,NA,NA,NA,NA
"12274","Locusta migratoria",36.96644,-25.14928,"Locusta migratoria (Linnaeus, 1758)","Acrididae","Locusta","Locusta migratoria",1964,NA,NA,NA,NA,NA
"12275","Decticus albifrons",36.94842,-25.14972,"Decticus albifrons (Fabricius, 1775)","Tettigoniidae","Decticus","Decticus albifrons",1964,NA,NA,NA,NA,NA
"12276","Platycleis sabulosa",36.96194,-25.14939,"Platycleis sabulosa Azam, 1901","Tettigoniidae","Platycleis","Platycleis sabulosa",1964,NA,NA,NA,NA,NA
"12277","Eumodicogryllus bordigalensis",36.97121,-25.16602,"Eumodicogryllus bordigalensis (Latreille, 1804)","Gryllidae","Eumodicogryllus","Eumodicogryllus bordigalensis",1964,NA,NA,NA,NA,NA
"12278","Platycleis falx",36.96176,-25.13816,"Platycleis falx falx","Tettigoniidae","Platycleis","Platycleis falx",1964,NA,NA,NA,NA,NA
