"","name","decimalLatitude","decimalLongitude","scientificName","family","genus","species","year","month","day","recordedBy","identifiedBy","sex"
"12350","Eumodicogryllus bordigalensis",36.94833,-25.1441,"Eumodicogryllus bordigalensis (Latreille, 1804)","Gryllidae","Eumodicogryllus","Eumodicogryllus bordigalensis",1964,NA,NA,NA,NA,NA
"12351","Phaneroptera nana",36.95275,-25.13838,"Phaneroptera nana Fieber, 1853","Tettigoniidae","Phaneroptera","Phaneroptera nana",1964,NA,NA,NA,NA,NA
"12352","Eumodicogryllus bordigalensis",36.97536,-25.14345,"Eumodicogryllus bordigalensis (Latreille, 1804)","Gryllidae","Eumodicogryllus","Eumodicogryllus bordigalensis",1964,NA,NA,NA,NA,NA
"12353","Phaneroptera nana",36.95726,-25.13827,"Phaneroptera nana Fieber, 1853","Tettigoniidae","Phaneroptera","Phaneroptera nana",1964,NA,NA,NA,NA,NA
"12354","Oedipoda caerulescens",36.95275,-25.13838,"Oedipoda caerulescens (Linnaeus, 1758)","Acrididae","Oedipoda","Oedipoda caerulescens",1964,NA,NA,NA,NA,NA
"12355","Decticus albifrons",36.96176,-25.13816,"Decticus albifrons (Fabricius, 1775)","Tettigoniidae","Decticus","Decticus albifrons",1964,NA,NA,NA,NA,NA
"12356","Locusta migratoria",36.98446,-25.14884,"Locusta migratoria (Linnaeus, 1758)","Acrididae","Locusta","Locusta migratoria",1964,NA,NA,NA,NA,NA
"12357","Decticus albifrons",36.97086,-25.14356,"Decticus albifrons (Fabricius, 1775)","Tettigoniidae","Decticus","Decticus albifrons",1964,NA,NA,NA,NA,NA
"12358","Eumodicogryllus bordigalensis",36.97554,-25.15468,"Eumodicogryllus bordigalensis (Latreille, 1804)","Gryllidae","Eumodicogryllus","Eumodicogryllus bordigalensis",1964,NA,NA,NA,NA,NA
"12359","Phaneroptera nana",36.97077,-25.13794,"Phaneroptera nana Fieber, 1853","Tettigoniidae","Phaneroptera","Phaneroptera nana",1964,NA,NA,NA,NA,NA
"12360","Oedipoda caerulescens",36.94392,-25.14983,"Oedipoda caerulescens (Linnaeus, 1758)","Acrididae","Oedipoda","Oedipoda caerulescens",1964,NA,NA,NA,NA,NA
